timestamp,open,high,low,close,volume
2026-04-01T00:00:00Z,3025.4,3026.16,3024.83,3025.15,268
2026-04-01T00:15:00Z,3025.15,3026.51,3022.37,3024.81,88
2026-04-01T00:30:00Z,3024.81,3025.28,3021.78,3021.92,130
2026-04-01T00:45:00Z,3021.92,3024.16,3021.11,3022.49,151
2026-04-01T01:00:00Z,3022.49,3023.96,3021.02,3023.05,167
2026-04-01T01:15:00Z,3023.05,3023.52,3020.67,3021.0,177
2026-04-01T01:30:00Z,3021.0,3022.54,3018.1,3021.65,266
2026-04-01T01:45:00Z,3021.65,3021.96,3019.8,3020.01,155
2026-04-01T02:00:00Z,3020.01,3022.61,3018.45,3020.84,260
2026-04-01T02:15:00Z,3020.84,3022.06,3017.53,3021.94,298
2026-04-01T02:30:00Z,3021.94,3022.21,3020.19,3021.46,173
2026-04-01T02:45:00Z,3021.46,3022.16,3018.74,3021.12,254
2026-04-01T03:00:00Z,3021.12,3022.91,3020.73,3022.3,121
2026-04-01T03:15:00Z,3022.3,3022.86,3020.46,3022.09,136
2026-04-01T03:30:00Z,3022.09,3024.44,3020.67,3021.56,88
2026-04-01T03:45:00Z,3021.56,3023.68,3021.35,3023.44,225
2026-04-01T04:00:00Z,3023.44,3025.73,3022.23,3023.63,244
2026-04-01T04:15:00Z,3023.63,3024.18,3022.93,3023.63,147
2026-04-01T04:30:00Z,3023.63,3025.55,3022.54,3023.64,115
2026-04-01T04:45:00Z,3023.64,3023.94,3023.46,3023.55,240
2026-04-01T05:00:00Z,3023.55,3024.81,3020.94,3022.44,232
2026-04-01T05:15:00Z,3022.44,3025.62,3020.69,3024.9,82
2026-04-01T05:30:00Z,3024.9,3025.99,3023.3,3025.29,276
2026-04-01T05:45:00Z,3025.29,3026.2,3024.45,3025.25,264
2026-04-01T06:00:00Z,3025.25,3027.45,3024.3,3024.89,107
2026-04-01T06:15:00Z,3024.89,3027.13,3023.7,3025.78,119
2026-04-01T06:30:00Z,3025.78,3026.15,3023.5,3025.9,80
2026-04-01T06:45:00Z,3025.9,3027.27,3025.61,3026.23,292
