timestamp,open,high,low,close,volume
2026-02-15T00:00:00Z,2920.0,2922.41,2918.26,2921.96,2141
2026-02-16T00:00:00Z,2921.96,2925.19,2921.54,2922.16,2908
2026-02-17T00:00:00Z,2922.16,2923.75,2921.07,2921.35,2410
2026-02-18T00:00:00Z,2921.35,2923.12,2920.88,2921.69,1007
2026-02-19T00:00:00Z,2921.69,2922.81,2919.2,2921.61,1970
2026-02-20T00:00:00Z,2921.61,2923.31,2920.78,2922.97,2298
2026-02-21T00:00:00Z,2922.97,2924.85,2922.19,2923.7,1597
2026-02-22T00:00:00Z,2923.7,2924.29,2922.34,2923.22,1945
2026-02-23T00:00:00Z,2923.22,2925.81,2922.08,2922.6,1196
2026-02-24T00:00:00Z,2922.6,2924.05,2921.46,2923.85,1390
2026-02-25T00:00:00Z,2923.85,2924.82,2921.58,2921.77,1361
2026-02-26T00:00:00Z,2921.77,2924.18,2920.79,2921.33,2911
2026-02-27T00:00:00Z,2921.33,2923.01,2919.1,2920.65,2025
2026-02-28T00:00:00Z,2920.65,2922.02,2919.68,2920.83,2027
2026-03-01T00:00:00Z,2920.83,2920.96,2920.06,2920.2,2506
2026-03-02T00:00:00Z,2920.2,2922.02,2918.87,2921.02,909
2026-03-03T00:00:00Z,2921.02,2922.0,2919.81,2921.89,1732
2026-03-04T00:00:00Z,2921.89,2923.96,2921.5,2923.03,2357
2026-03-05T00:00:00Z,2923.03,2924.29,2921.33,2924.09,1250
2026-03-06T00:00:00Z,2924.09,2924.94,2921.92,2923.18,1635
2026-03-07T00:00:00Z,2923.18,2924.6,2921.12,2924.12,1055
2026-03-08T00:00:00Z,2924.12,2926.01,2923.07,2925.95,2759
2026-03-09T00:00:00Z,2925.95,2926.7,2925.56,2926.56,2202
2026-03-10T00:00:00Z,2926.56,2928.01,2924.98,2927.02,1882
2026-03-11T00:00:00Z,2927.02,2927.93,2926.5,2927.29,1721
2026-03-12T00:00:00Z,2927.29,2931.0,2925.88,2929.47,2802
2026-03-13T00:00:00Z,2929.47,2930.16,2926.98,2929.48,1920
2026-03-14T00:00:00Z,2929.48,2930.55,2927.52,2930.19,2416
2026-03-15T00:00:00Z,2930.19,2933.31,2928.72,2930.07,1978
2026-03-16T00:00:00Z,2930.07,2932.31,2928.4,2930.95,2762
2026-03-17T00:00:00Z,2930.95,2932.46,2929.13,2931.0,1912
2026-03-18T00:00:00Z,2931.0,2932.15,2928.31,2929.27,2975
2026-03-19T00:00:00Z,2929.27,2929.77,2927.79,2928.46,2734
2026-03-20T00:00:00Z,2928.46,2929.87,2926.59,2928.39,1446
2026-03-21T00:00:00Z,2928.39,2930.08,2926.39,2928.15,1616
2026-03-22T00:00:00Z,2928.15,2929.86,2927.56,2927.74,1166
2026-03-23T00:00:00Z,2927.74,2928.9,2926.38,2928.49,952
2026-03-24T00:00:00Z,2928.49,2930.71,2926.89,2927.59,948
2026-03-25T00:00:00Z,2927.59,2930.55,2926.65,2930.26,1985
2026-03-26T00:00:00Z,2930.26,2932.03,2929.19,2929.53,2172
2026-03-27T00:00:00Z,2929.53,2931.31,2927.56,2929.41,1349
2026-03-28T00:00:00Z,2929.41,2931.85,2928.98,2929.34,1465
2026-03-29T00:00:00Z,2929.34,2931.56,2928.02,2928.12,2180
2026-03-30T00:00:00Z,2928.12,2930.46,2926.73,2927.42,2460
2026-03-31T00:00:00Z,2927.42,2929.83,2927.17,2928.93,1556
2026-04-01T00:00:00Z,2928.93,2931.96,2927.24,2927.32,2371
2026-04-02T00:00:00Z,2927.32,2928.7,2924.43,2925.74,846
2026-04-03T00:00:00Z,2925.74,2926.45,2924.19,2925.68,2706
2026-04-04T00:00:00Z,2925.68,2926.47,2923.88,2926.16,2073
2026-04-05T00:00:00Z,2926.16,2928.18,2924.46,2925.84,1704
2026-04-06T00:00:00Z,2925.84,2926.17,2924.24,2925.66,2330
2026-04-07T00:00:00Z,2925.66,2926.69,2924.39,2925.62,1694
2026-04-08T00:00:00Z,2925.62,2928.03,2924.51,2927.25,2952
2026-04-09T00:00:00Z,2927.25,2928.55,2926.78,2927.77,1052
2026-04-10T00:00:00Z,2927.77,2930.85,2927.33,2929.22,1473
2026-04-11T00:00:00Z,2929.22,2930.2,2928.17,2928.62,2802
2026-04-12T00:00:00Z,2928.62,2929.59,2925.35,2927.28,2902
2026-04-13T00:00:00Z,2927.28,2928.34,2925.86,2927.51,2062
2026-04-14T00:00:00Z,2927.51,2929.27,2926.02,2928.42,1099
2026-04-15T00:00:00Z,2928.42,2929.11,2926.21,2929.04,1082
